C:\Users\BIOMETRICS\Desktop\testRecordingTrigger.c3d



Time(ms):	EMG 9(uV):	
459.0	-11.0780	
459.5	-5.4383	
460.0	-17.1206	
460.5	-3.6255	
461.0	-17.3220	
461.5	-13.4951	
462.0	-11.4809	
462.5	-17.9263	
463.0	-21.3504	
463.5	-13.6965	
464.0	-16.7178	
464.5	-7.4525	
465.0	-7.4525	
465.5	-15.3078	
466.0	-4.6326	
466.5	-15.9121	
467.0	-3.6255	
467.5	6.2440	
468.0	6.6468	
468.5	-11.8837	
469.0	0.4028	
469.5	1.2085	
470.0	-6.8482	
470.5	-5.0355	
471.0	-11.2795	
471.5	-11.0780	
472.0	-11.8837	
472.5	-10.4738	
473.0	-3.0213	
473.5	-9.0639	
474.0	-17.9263	
474.5	-1.8128	
475.0	-1.0071	
475.5	9.6681	
476.0	5.6397	
476.5	-18.3291	
477.0	4.8341	
477.5	0.6043	
478.0	1.0071	
478.5	-2.6184	
479.0	-11.4809	
479.5	-9.2653	
480.0	-7.8553	
480.5	-6.2440	
481.0	0.8057	
481.5	-2.8199	
482.0	-6.8482	
482.5	1.0071	
483.0	-4.6326	
483.5	0.6043	
484.0	2.6184	
484.5	4.6326	
485.0	4.4312	
485.5	2.6184	
486.0	5.4383	
486.5	9.6681	
487.0	-0.6043	
487.5	3.0213	
488.0	4.2298	
488.5	9.0639	
489.0	-8.0568	
489.5	-3.6255	
490.0	-8.6610	
490.5	-17.3220	
491.0	6.8482	
491.5	1.4099	
492.0	-16.1135	
492.5	0.0000	
493.0	-2.8199	
493.5	10.6752	
494.0	9.2653	
494.5	9.8695	
495.0	-1.0071	
495.5	6.4454	
496.0	2.2156	
496.5	4.0284	
497.0	14.7036	
497.5	15.1064	
498.0	8.2582	
498.5	20.1419	
499.0	10.2724	
499.5	3.4241	
500.0	9.4667	
500.5	10.2724	
501.0	18.1277	
501.5	2.6184	
502.0	7.8553	
502.5	-6.2440	
503.0	-11.8837	
503.5	-17.5235	
504.0	-20.5447	
504.5	-20.1419	
505.0	-21.9547	
505.5	-1.0071	
506.0	-13.6965	
506.5	-0.2014	
507.0	-11.4809	
507.5	-3.8270	
508.0	-8.4596	
508.5	-4.2298	
509.0	-13.8979	
509.5	-13.8979	
510.0	-16.7178	
510.5	-18.3291	
511.0	9.2653	
511.5	-15.5093	
512.0	-6.8482	
512.5	-7.0497	
513.0	-8.0568	
513.5	-1.8128	
514.0	16.1135	
514.5	-7.0497	
515.0	-4.2298	
515.5	7.0497	
516.0	-2.8199	
516.5	-26.3859	
517.0	-7.0497	
517.5	-6.2440	
518.0	1.6114	
518.5	-3.0213	
519.0	-8.2582	
519.5	-10.4738	
520.0	-0.8057	
520.5	-1.8128	
521.0	0.8057	
521.5	-6.6468	
522.0	5.6397	
522.5	12.4880	
523.0	-2.0142	
523.5	4.6326	
524.0	4.8341	
524.5	7.4525	
525.0	1.4099	
525.5	-0.4028	
526.0	0.4028	
526.5	-8.2582	
527.0	-4.8341	
527.5	2.6184	
528.0	3.8270	
528.5	8.0568	
529.0	-11.0780	
529.5	-4.4312	
530.0	1.4099	
530.5	1.0071	
531.0	-10.6752	
531.5	-17.7249	
532.0	-19.7391	
532.5	-7.4525	
533.0	-13.2937	
533.5	-14.9050	
534.0	-13.0922	
534.5	-20.1419	
535.0	-0.6043	
535.5	-2.2156	
536.0	-11.0780	
536.5	-1.8128	
537.0	-10.2724	
537.5	-3.8270	
538.0	2.4170	
538.5	-7.4525	
539.0	-8.6610	
539.5	-1.8128	
540.0	2.0142	
540.5	2.0142	
541.0	9.8695	
541.5	4.2298	
542.0	5.8412	
542.5	11.4809	
543.0	5.8412	
543.5	-0.2014	
544.0	0.0000	
544.5	1.8128	
545.0	1.8128	
545.5	-5.4383	
546.0	0.4028	
546.5	7.0497	
547.0	39.2767	
547.5	14.0993	
548.0	2.4170	
548.5	-2.0142	
549.0	0.6043	
549.5	-1.4099	
550.0	7.4525	
550.5	4.2298	
